frame0;0,0;65,65
frame1;65,0;65,65
frame2;130,0;65,65
frame3;195,0;65,65
frame4;260,0;65,65
frame5;325,0;65,65
frame6;390,0;65,65
frame7;0,65;65,65
frame8;65,65;65,65
frame9;130,65;65,65
frame10;195,65;65,65
frame11;260,65;65,65
frame12;325,65;65,65
frame13;390,65;65,65
frame14;0,130;65,65
frame15;65,130;65,65
frame16;130,130;65,65
frame17;195,130;65,65
frame18;260,130;65,65
frame19;325,130;65,65
frame20;390,130;65,65
frame21;0,195;65,65
frame22;65,195;65,65
frame23;130,195;65,65
frame24;195,195;65,65
frame25;260,195;65,65
frame26;325,195;65,65
frame27;390,195;65,65
frame28;0,260;65,65
frame29;65,260;65,65
frame30;130,260;65,65
frame31;195,260;65,65
frame32;260,260;65,65
frame33;325,260;65,65
frame34;390,260;65,65
frame35;0,325;65,65
frame36;65,325;65,65
frame37;130,325;65,65
frame38;195,325;65,65
frame39;260,325;65,65
frame40;325,325;65,65
frame41;390,325;65,65
frame42;0,390;65,65
frame43;65,390;65,65

