frame0;0,0;128,128
frame1;128,0;128,128
frame2;256,0;128,128
frame3;384,0;128,128
frame4;512,0;128,128
frame5;640,0;128,128
frame6;768,0;128,128
frame7;0,128;128,128
frame8;128,128;128,128
frame9;256,128;128,128
frame10;384,128;128,128
frame11;512,128;128,128
frame12;640,128;128,128
frame13;768,128;128,128
frame14;0,256;128,128
frame15;128,256;128,128
frame16;256,256;128,128
frame17;384,256;128,128
frame18;512,256;128,128
frame19;640,256;128,128
frame20;768,256;128,128
frame21;0,384;128,128
frame22;128,384;128,128
frame23;256,384;128,128
frame24;384,384;128,128
frame25;512,384;128,128
frame26;640,384;128,128
frame27;768,384;128,128
frame28;0,512;128,128
frame29;128,512;128,128
frame30;256,512;128,128
frame31;384,512;128,128
frame32;512,512;128,128
frame33;640,512;128,128
frame34;768,512;128,128
frame35;0,640;128,128
frame36;128,640;128,128
frame37;256,640;128,128
frame38;384,640;128,128
frame39;512,640;128,128
frame40;640,640;128,128
frame41;768,640;128,128
frame42;0,768;128,128
frame43;128,768;128,128
frame44;256,768;128,128
frame45;384,768;128,128
frame46;512,768;128,128
frame47;640,768;128,128

