1;52,948;48,40
2;52,906;48,40
3;52,864;48,40
4;52,822;48,40
al;2,948;48,40
as;2,906;48,40
beam_laser;2,692;128,128
ct;2,864;48,40
dc;2,822;48,40
alite;808,2;192,38
fs;938,390;48,40
fu;938,348;48,40
gauge_content;2,350;220,40
gauge_overlay;2,308;220,40
green;1002,20;16,16
lt;938,306;48,40
military_laser;2,562;128,128
mining_laser;2,432;128,128
missile;938,194;55,26
missile_empty;938,156;70,36
missile_loaded;938,118;70,36
missile_targeted;938,80;70,36
missile_targetting;938,42;70,36
pulse_laser;808,302;128,128
radar;2,2;804,304
red;1002,2;16,16
rl;938,264;48,40
s;808,172;128,128
sp;938,222;48,40
target;808,42;128,128
e;808,431;128,128
front;224,307;266,151
rear;492,307;266,151
left;225,461;402,146
right;225,608;402,146
cpn;634,484;128,128
cpu;243,756;128,128
cpru;371,756;128,128
cpr;499,756;128,128
cprd;627,756;128,128
cpl;755,756;128,128
cplu;883,756;128,128
cpd;755,628;128,128
cpld;883,628;128,128
cu;112,885;128,128
cr;240,885;128,128
cd;368,885;128,128
cl;496,885;128,128
cuh;624,885;128,128
crh;752,885;128,128
cdh;880,885;128,128
clh;629,626;128,128


